,PLAYER,YRS,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,BA
 ,Yasmani Grandal,11,99,327,15,66,7,0,5,27,45,79,1,0,.202
 ,Jonathan Schoop,10,131,481,48,97,23,1,11,38,19,107,5,0,.202
 ,Jack Suwinski,1,106,326,45,66,11,0,19,38,41,114,4,2,.202
 ,Cavan Biggio,4,97,257,43,52,18,1,6,24,38,85,2,0,.202
329,Victor Caratini,6,95,272,26,54,12,0,9,34,31,67,0,0,.199
330,Aristides Aquino,5,80,259,24,51,13,0,10,30,17,101,2,3,.197
 ,Josh Smith,0,73,213,23,42,5,0,2,16,28,50,4,3,.197
332,Kole Calhoun,11,125,388,36,76,14,1,12,49,27,136,3,2,.196
 ,Max Muncy,7,136,464,69,91,22,1,21,69,90,141,2,0,.196
 ,Andrew Velazquez,5,125,322,37,63,8,0,9,28,15,119,17,1,.196
335,Geraldo Perdomo,0,148,431,58,84,10,2,5,40,50,103,9,2,.195
336,Martin Maldonado,12,113,344,40,64,12,0,15,45,22,116,0,0,.186
337,Abraham Toro,4,109,324,36,60,13,1,10,35,22,65,2,0,.185
338,Trent Grisham,4,152,451,58,83,16,2,17,53,57,150,7,1,.184
339,Max Stassi,10,102,333,32,60,12,1,9,30,38,112,0,0,.180
340,Jordan Luplow,6,83,205,26,36,5,0,11,28,25,60,5,1,.176
